Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230,y
,,,,,812.0,14.0,,,,,,1252.0,,,,,,,,156.0,195.0,,0.0,40.0,,,286.96,,,,,,,0.0,,,4850466.0,,,,,,0.0,,,,,,,,,,,,,5.368725,,,,,,,,27.0,,,,,,,9.0,150,14.0,,2958048.0,,0.0,,,227693.1,,15.0,,0.0,,,,,,,,,1698.0,,,,,,,,,,,,,,,32.0,,,48.0,175099.6,,,,,,525.0,,,,60.0,,4743.0,,,,,,,0.0,5295550.0,348816.0,,,,,,410.0,,,0.0,27.0,,,,,0.0,,,,10683560.0,,,,,,,30.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,KXMrEyXXnK,g62hiBSaKg,SEuy,taul,1K8T,IvdZ,fhk21Ss,Pkku4gO,pbHkKHa,smXZ,4MV4,9_Y1,SkZj,VpdQ,itlM,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,WsRVNrF85oPU_,,E4QF4eX,,11pRpOD,G8WR,cJvF,AU8_WTd,4UxGlow,zCkv,catzS2D,jySVZNlOJy,,xG3x,Aoh3,ZI9m,ib5G6X1eUxUn6,mj86,,0
,,,,,2688.0,7.0,,,,,,8820.0,,,,,,,,364.0,455.0,,4.0,288.0,,,200.0,,,,,,,0.0,,,132072.0,,,,,,0.0,,,,,,,,,,,,,0.1597949,,,,,,,,9.0,,,,,,,,140,210.0,,1095032.0,,0.0,,,17662.35,,50.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,96.0,146784.8,,,,,,1065.0,,,,48.0,,44541.0,50.0,,,,,,0.0,468860.0,364586.0,,,,,,60.0,,,0.0,9.0,,,,,398034.0,,,,2230420.0,,,,,,,20.0,,,503406.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,258.0,,,8Knvyx875g,2Knk1KF,SEuy,taul,1K8T,lK27,eQgnKxT,Hz673939hbJdw,ELe4G18,smXZ,sbhw,9_Y1,MBhA,VpdQ,lVqb,me75fM6ugJ,kIsH,,uKAI,L84s,XfqtO3UdzaXh_,,kfKvbJ9,,11pEY2j,5smi,UYBR,AU8pNoi,GpvRJ5l,oslk,i06ocsg,LM8l689qOp,,kG3k,WqMG,RAYp,55YFVY9,mj86,,0
,,,,,1015.0,14.0,,,,,,1784.0,,,,,,,,136.0,170.0,,2.0,40.0,,,294.48,,,,,,,0.0,,,3223524.0,,,,,,0.0,,,,,,,,,,,,,0.483871,,,,,,,,18.0,,,,,,,6.0,110,98.0,,2534504.0,,0.0,,,190181.1,,15.0,,4.0,,,,,,,,,108801.0,,,,,,,,,,,,,,,32.0,,,32.0,87718.4,,,,,,625.0,,,,42.0,,14751.0,12.0,,,,,,0.0,4949640.0,792030.0,,,,,,5720.0,,,0.0,27.0,,,,,554421.0,,,,10544120.0,,,,,,,26.0,,,950436.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,288.0,,,MfKrEyQtC3,RO12,SEuy,taul,1K8T,487l,iJzviRg,76j2P_OLn0,pOtdZA9,smXZ,7KBn,9_Y1,SkZj,VpdQ,hAFG,7M47J5GA0pTYIFxg5uy,kIsH,,g5HH,L84s,cOJGGr4F_wga1,,3_oHWGU,,kq0mb4H,8m7I,cJvF,FzaX,ch2oGfM,zCkv,P6pu4Vl,LM8l689qOp,,kG3k,Aoh3,ZI9m,R4y5gQQWY8OodqDV,am7c,,0
,,,,,168.0,0.0,,,,,,0.0,,,,,,,,24.0,30.0,,0.0,0.0,,,644.24,,,,,,,0.0,,,2135430.0,,,,,,0.0,,,,,,,,,,,,,2.751122,,,,,,,,9.0,,,,,,,3.0,22,0.0,,10196800.0,,0.0,,,348843.0,,0.0,,0.0,,,,,,,,,2160.0,,,,,,,,,,,,,,,16.0,,,24.0,574884.0,,,,,,275.0,,,,6.0,,0.0,-26.0,,,,,,0.0,6048000.0,0.0,,,,,,0.0,,,0.0,9.0,,,,,0.0,,,,11360440.0,,,,,,,4.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Qu0qrQKzJV,RO12,,taul,1K8T,487l,3cunsla,ZIX6Y9cVy5,,,6lcF,9_Y1,15m3,09_Q,zm5i,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,7Wwz9n7,d4ij,cJvF,FzaX,kH5mFX7,oslk,BNrD3Yd,LM8l689qOp,,,FSa2,RAYp,F2FyR07IdsN7I,,,0
,,,,,14.0,0.0,,,,,,0.0,,,,,,,,36.0,45.0,,0.0,0.0,,,239.84,,,,,,,0.0,,,3110400.0,,,,,,0.0,,,,,,,,,,,,,1.218757,,,,,,,,9.0,,,,,,,3.0,12,0.0,,0.0,,0.0,,,235971.0,,10.0,,0.0,,,,,,,,,1242.0,,,,,,,,,,,,,,,8.0,,,0.0,-423676.0,,,,,,45.0,,,,36.0,,0.0,4.0,,,,,,0.0,83565.0,0.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,2831652.0,,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,186.0,,,DHerjIKQ76,RO12,,taul,1K8T,YPhp,65ylkJq,glRbITbnHQ,,,UCEj,9_Y1,7WNq,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kZJtVhC,NEOV,cJvF,FzaX,x_lYlW4,oslk,3B1QowC,LM8l689qOp,,,WqMG,RAYp,F2FyR07IdsN7I,,,0
,,,,,1127.0,7.0,,,,,,1740.0,,,,,,,,196.0,245.0,,2.0,48.0,,,253.52,,,,,,,0.0,,,6179580.0,,,,,,0.0,,,,,,,,,,,,,3.477248,,,,,,,,9.0,,,,,,,3.0,40,525.0,,857200.0,,0.0,,,151212.9,,30.0,,0.0,,,,,,,,,696.0,,,,,,,,,,,,,,,32.0,,,40.0,19036.84,,,,,,635.0,,,,102.0,,15714.0,,,,,,,0.0,2309305.0,803156.0,,,,,,725.0,,,0.0,9.0,,,,,604800.0,,,,9918480.0,,,,,,,30.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,nymvyxdtN_,RO12,,taul,1K8T,hM6W,PAgx_1Z,V_KvNzO,,,KXGE,9_Y1,RcM7,VpdQ,zm5i,me75fM6ugJ,kIsH,,g5HH,L84s,NhsEn4L,,,,mAjbk_S,lZBb,cJvF,FzaX,aoBj9cC,oslk,ouMYyXX,LM8l689qOp,,,szEZ,RAYp,F2FyR07IdsN7I,,,1
,,,,,742.0,0.0,,,,,,448.0,,,,,,,,148.0,185.0,,2.0,24.0,,,196.64,,,,,,,0.0,,,4455288.0,,,,,,0.0,,,,,,,,,,,,,1.769494,,,,,,,,9.0,,,,,,,,40,0.0,,2829480.0,,0.0,,,186765.0,,25.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,40.0,203924.8,,,,,,570.0,,,,54.0,,10521.0,16.0,,,,,,0.0,5591050.0,26210.0,,,,,,0.0,,,0.0,9.0,,,,,56595.0,,,,10638200.0,,,,,,,30.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,360.0,,,75lq9ayfAo,RO12,,taul,1K8T,lK27,kkNNXZR,9UgkRNa9Jb,,,nhBW,9_Y1,F_Lu,VpdQ,zm5i,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,mAjbk_S,J8na,cJvF,FzaX,OTgfc8E,oslk,GeD7j0h,LM8l689qOp,,,TNEC,RAYp,F2FyR07IdsN7I,,,1
,,,,,3381.0,7.0,,,,,,836.0,,,,,,,,384.0,480.0,,10.0,184.0,,,323.92,,,,,,,0.0,,,3170388.0,,,,,,0.0,,,,,,,,,,,,,0.2085025,,,,,,,,9.0,,,,,,,3.0,66,7.0,,1673280.0,,0.0,,,40191.9,,60.0,,12.0,,,,,,,,,22497.0,,,,,,,,,,,,,,,168.0,,,104.0,1172012.0,,,,,,4320.0,,,,66.0,,65709.0,-26.0,,,,,,0.0,5208150.0,538942.0,,,,,,295.0,,,0.0,9.0,,,,,139706.0,,,,10466200.0,,,,,,,62.0,,,1508628.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,162.0,,,LDPq9ayfAo,RO12,,taul,1K8T,z32l,creaF5r,y2LIM01bE1,3VuBL38,,q1Sq,9_Y1,QBpP,sJzTlal,sYC_,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,dMYTDJY,,kq0n8Bj,5QEJ,cJvF,FzaX,PhzfR8o,oslk,JEtAgOW,LM8l689qOp,,ELof,7P5s,RAYp,F2FyR07IdsN7I,am7c,,0
,,,,,791.0,7.0,,,,,,0.0,,,,,,,,148.0,185.0,,2.0,24.0,,,288.08,,,,,,,0.0,,,7070040.0,,,,,,0.0,,,,,,,,,,,,,0.9098483,,,,,,,,18.0,,,,,,,6.0,34,0.0,,1382400.0,,0.0,,,185558.1,,40.0,,0.0,,,,,,,,,47556.0,,,,,,,,,,,,,,,32.0,,,16.0,94072.8,,,,,,610.0,,,,90.0,,1017.0,10.0,,,,,,0.0,2673280.0,105526.0,,,,,,55.0,,,0.0,18.0,,,,,604800.0,,,,10434080.0,,,,,,,18.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,639r4RK2Mx,AERks4l,,taul,1K8T,JLbT,6Wu7zLh,kTVOa4R,,,2u2p,9_Y1,DtNL,VpdQ,zm5i,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,NhsEn4L,,,,NGZ7K5L,iNnS,UYBR,FzaX,8c8KEbL,oslk,UQenOT8,LM8l689qOp,,,FSa2,ZI9m,F2FcTt7IdMT_v,,,0
,,,,,315.0,7.0,,,,,,8.0,,,,,,,,0.0,0.0,,,0.0,,,266.88,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.8694723,,,,,,,,9.0,,,,,,,3.0,46,7.0,,0.0,,0.0,,,192864.9,,0.0,,0.0,,,,,,,,,567.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,0.0,,192285.0,,,,,,,0.0,0.0,0.0,,,,,,45.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,156.0,,,Qu0qrQKzJV,RO12,,taul,1K8T,0Xwj,eIfMukw,LByewuNzAX,7dY_cPx,,bbqn,HLqf,15m3,09_Q,IYzP,me75fM6ugJ,sBgB,,uKAI,L84s,NhsEn4L,,5DGsKmu,,kq0n8Bj,8cJL,cJvF,FzaX,ue3v1FD,oslk,E11ObSS,jySVZNlOJy,,ELof,FSa2,RAYp,F2FyR07IdsN7I,am7c,,1
